"name","weekday","income"
Sheryl Hunter,Monday   ,153301531
Sylvia Panteley,Monday   ,96399427
Albert Ringer,Monday   ,392378038
Stearns MacFeather,Monday   ,30778276
Reginald Blotchet-Halls,Monday   ,103178571
Michel DeFrance,Monday   ,479584921
Burt Gringlesby,Monday   ,118429815
Dean Straight,Monday   ,192550177
Johnson White,Monday   ,98560782
Innes del Castillo,Monday   ,260992756
Abraham Bennet,Monday   ,231845241
Charlene Locksley,Monday   ,108450663
Ann Dull,Monday   ,39656842
Dirk Stringer,Monday   ,759341454
Meander Smith,Monday   ,52160238
Anne Ringer,Monday   ,53386961
Cheryl Carson,Monday   ,77977657
Heather McBadden,Monday   ,293014643
Morningstar Greene,Monday   ,67381291
Michael O'Leary,Monday   ,138096278
Marjorie Green,Monday   ,97539868
Livia Karsen,Monday   ,132386625
Sylvia Panteley,Tuesday  ,99289901
Burt Gringlesby,Tuesday  ,114454018
Livia Karsen,Tuesday  ,145696078
Sheryl Hunter,Tuesday  ,163754751
Meander Smith,Tuesday  ,63913954
Ann Dull,Tuesday  ,38097808
Albert Ringer,Tuesday  ,419021705
Michael O'Leary,Tuesday  ,125258271
Stearns MacFeather,Tuesday  ,31056506
Johnson White,Tuesday  ,100275590
Marjorie Green,Tuesday  ,102488971
Charlene Locksley,Tuesday  ,102419646
Michel DeFrance,Tuesday  ,467420387
Dirk Stringer,Tuesday  ,734550038
Anne Ringer,Tuesday  ,55417862
Reginald Blotchet-Halls,Tuesday  ,89298154
Cheryl Carson,Tuesday  ,76905547
Morningstar Greene,Tuesday  ,67737441
Innes del Castillo,Tuesday  ,285473369
Heather McBadden,Tuesday  ,267891418
Dean Straight,Tuesday  ,183459092
Abraham Bennet,Tuesday  ,259058032
Michel DeFrance,Wednesday,439203901
Innes del Castillo,Wednesday,245730068
Heather McBadden,Wednesday,249479672
Dirk Stringer,Wednesday,642376642
Stearns MacFeather,Wednesday,24953855
Anne Ringer,Wednesday,46106241
Charlene Locksley,Wednesday,106731411
Reginald Blotchet-Halls,Wednesday,80548671
Michael O'Leary,Wednesday,134525041
Dean Straight,Wednesday,168092852
Livia Karsen,Wednesday,156662691
Albert Ringer,Wednesday,403718425
Marjorie Green,Wednesday,94949352
Meander Smith,Wednesday,49655899
Abraham Bennet,Wednesday,214842815
Johnson White,Wednesday,89036569
Cheryl Carson,Wednesday,66729907
Morningstar Greene,Wednesday,64838804
Sylvia Panteley,Wednesday,85876351
Burt Gringlesby,Wednesday,119047498
Ann Dull,Wednesday,35589006
Sheryl Hunter,Wednesday,140290965
Marjorie Green,Thursday ,90204716
Sheryl Hunter,Thursday ,148434253
Abraham Bennet,Thursday ,226133921
Ann Dull,Thursday ,36627442
Michel DeFrance,Thursday ,481154817
Morningstar Greene,Thursday ,61407062
Dirk Stringer,Thursday ,693463721
Sylvia Panteley,Thursday ,91590683
Michael O'Leary,Thursday ,130193803
Anne Ringer,Thursday ,55678731
Innes del Castillo,Thursday ,247744631
Johnson White,Thursday ,91715665
Burt Gringlesby,Thursday ,103250742
Livia Karsen,Thursday ,168820566
Stearns MacFeather,Thursday ,22585497
Cheryl Carson,Thursday ,70730736
Reginald Blotchet-Halls,Thursday ,89971578
